feature,importance,rank
RPL_THEME1,0.14743630048410683,1
LPA_CrudePrev,0.1088315047510182,2
Commercial Diversity Score_2017,0.09089225055841356,3
DIABETES_CrudePrev,0.07108752087860336,4
igs_score_2017,0.059562042849153174,5
RPL_THEMES,0.049570410753105615,6
igs_economy_2017,0.0463955712443703,7
Internet Access Score_2017,0.04415082871090973,8
Labor Market Engagement Index Score_2017,0.031708931668900014,9
CSMOKING_CrudePrev,0.030104787866060134,10
RPL_THEME3,0.024279979495868076,11
BPHIGH_CrudePrev,0.022281715103342984,12
Female Above Poverty Score_2017,0.020241421173666174,13
OBESITY_CrudePrev,0.019145932215365813,14
PovertyRate,0.018734266498406656,15
EAL_SCORE,0.015691921121360284,16
COPD_CrudePrev,0.01485804156697691,17
ACCESS2_CrudePrev,0.014758061410704999,18
IFLD_RISKS,0.011529156137464303,19
biz_pharmacy,0.011287534474542843,20
